Gene Name,Gene Symbol,Chromosome,Entrez GeneId,NCBI Accession Number,MGI Marker AccessionId,SwissProt Accession Number,GENSAT Number
"RIKEN cDNA 0610009O20 gene","0610009O20Rik","18","66839","NM_024179","MGI:1914089","Q9DCV6",""
"RIKEN cDNA 0610010D20 gene","0610010D20Rik","19","67432","NM_026152","MGI:1914682","",""
"RIKEN cDNA 0610010D24 gene","0610010D24Rik","12","68339","NM_026681","MGI:1915589","",""
"RIKEN cDNA 0610010F05 gene","0610010F05Rik","11","71675","NM_027860","MGI:1918925","",""
"RIKEN cDNA 0610010K06 gene","0610010K06Rik","1","71678","XM_135707","MGI:1918928","",""
"RIKEN cDNA 0610010K14 gene","0610010K14Rik","11","104457","NM_026757","MGI:1915609","",""
"RIKEN cDNA 0610010O12 gene","0610010O12Rik","18","66060","XM_488847","MGI:1913310","",""
"RIKEN cDNA 0610011F06 gene","0610011F06Rik","17","68347","XM_128511","MGI:1915597","",""
"RIKEN cDNA 0610011I04 gene","0610011I04Rik","6","66058","NM_025326","MGI:1913308","",""
"RIKEN cDNA 0610011L14 gene","0610011L14Rik","2","68295","NM_026661","MGI:1915545","Q9D2V5",""
"RIKEN cDNA 0610012D14 gene","0610012D14Rik","7","68352","NM_026690","MGI:1915602","Q9DCQ2",""
"RIKEN cDNA 0610012D17 gene","0610012D17Rik","16","66061","NM_025329","MGI:1913311","",""
"RIKEN cDNA 0610012G03 gene","0610012G03Rik","16","106264","NM_025320","MGI:1913301","",""
"RIKEN cDNA 0610012H03 gene","0610012H03Rik","2","74088","NM_028747","MGI:1921338","",""
"RIKEN cDNA 0610013E23 gene","0610013E23Rik","11","76892","NM_029788","MGI:1924142","",""
"RIKEN cDNA 0610016J10 gene","0610016J10Rik","17","76890","NM_133771","MGI:1924140","Q91VH6",""
"RIKEN cDNA 0610025G21 gene (non-RefSeq)","0610025G21Rik*","","0","0610025G21","","",""
"RIKEN cDNA 0610025J13 gene","0610025J13Rik","4","78687","XM_355548","MGI:1915618","",""
"RIKEN cDNA 0610025P10 gene","0610025P10Rik","11","216860","XM_126221","MGI:1921092","",""
"RIKEN cDNA 0610030E20 gene","0610030E20Rik","6","68364","XM_132614","MGI:1915614","",""
"RIKEN cDNA 0610031J06 gene","0610031J06Rik","3","56700","NM_020003","MGI:1913318","",""
"RIKEN cDNA 0610033I05 gene","0610033I05Rik","2","71684","NM_030243","MGI:1918934","",""
"RIKEN cDNA 0610037D15 gene","0610037D15Rik","4","68394","NM_026714","MGI:1915644","","G00474"
"RIKEN cDNA 0610037L13 gene","0610037L13Rik","4","74098","NM_028754","MGI:1921348","",""
"RIKEN cDNA 0610037P05 gene","0610037P05Rik","16","66086","NM_025345","MGI:1913336","",""
"RIKEN cDNA 0610038D11 gene","0610038D11Rik","19","67674","NM_026306","MGI:1914924","Q9DCG9",""
"RIKEN cDNA 0610038F07 gene","0610038F07Rik","19","66072","NM_025333","MGI:1913322","",""
"RIKEN cDNA 0610038K03 gene","0610038K03Rik","10","68371","NM_026701","MGI:1915621","Q9DCG6",""
"RIKEN cDNA 0610040B10 gene","0610040B10Rik","5","67672","XM_489113","MGI:1914922","",""
"RIKEN cDNA 0610040D20 gene","0610040D20Rik","9","66070","NM_023153","MGI:1913320","",""
"RIKEN cDNA 0610040J01 gene","0610040J01Rik","5","76261","NM_029554","MGI:1923511","",""
"RIKEN cDNA 0610041G09 gene","0610041G09Rik","19","68377","NM_183274","","",""
"RIKEN cDNA 0610042C05 gene","0610042C05Rik","10","66084","NM_025343","MGI:1913334","Q8CI78",""
"RIKEN cDNA 0610042E07 gene","0610042E07Rik","7","67441","NM_026158","MGI:1914691","",""
"RIKEN cDNA 0710001B24 gene","0710001B24Rik","1","67446","NM_175118","MGI:1914696","",""
"RIKEN cDNA 0710005M24 gene","0710005M24Rik","3","76897","NM_178631","MGI:1924147","",""
"RIKEN cDNA 0710008K08 gene","0710008K08Rik","8","69225","NM_026995","MGI:1913353","",""
"RIKEN cDNA 0910001A06 gene","0910001A06Rik","15","223601","NM_144846","MGI:1923520","Q921M7",""
"RIKEN cDNA 0910001L09 gene","0910001L09Rik","5","66096","XM_132434","MGI:1913346","",""
"RIKEN cDNA 1010001N08 gene","1010001N08Rik","18","68434","XM_488841","MGI:1915684","",""
"RIKEN cDNA 1100001E04 gene","1100001E04Rik","X","75404","XM_135854","MGI:1922654","",""
"RIKEN cDNA 1100001F07 gene (non-RefSeq)","1100001F07Rik*","","0","1100001F07","","",""
"RIKEN cDNA 1100001G20 gene","1100001G20Rik","11","66107","NM_183249","MGI:1913357","",""
"RIKEN cDNA 1100001H23 gene","1100001H23Rik","6","66857","NM_025806","MGI:1914107","",""
"RIKEN cDNA 1100001I22 gene","1100001I22Rik","3","68436","XM_485311","MGI:1915686","Q9D1R9",""
"RIKEN cDNA 1110001A07 gene","1110001A07Rik","11","66140","NM_025377","MGI:1913390","",""
"RIKEN cDNA 1110001D15 gene","1110001D15Rik","9","68553","XM_356184","MGI:1915803","",""
"RIKEN cDNA 1110001J03 gene","1110001J03Rik","6","66117","NM_025363","MGI:1913367","",""
"RIKEN cDNA 1110001M24 gene","1110001M24Rik","3","433619","XM_485267","MGI:1920981","",""
"RIKEN cDNA 1110002B05 gene","1110002B05Rik","12","104725","NM_134054","MGI:1913399","Q8R207",""
"RIKEN cDNA 1110002E23 gene","1110002E23Rik","17","66119","NM_025365","MGI:1913369","",""
"RIKEN cDNA 1110002H13 gene","1110002H13Rik","2","66139","NM_025376","MGI:1913389","",""
"RIKEN cDNA 1110002L01 gene","1110002L01Rik","12","68571","XM_484105","MGI:1915821","",""
"RIKEN cDNA 1110002N22 gene","1110002N22Rik","11","68550","NM_183275","MGI:1915800","",""
"RIKEN cDNA 1110003B14 gene (non-RefSeq)","1110003B14Rik*","","0","1110003B14","","",""
"RIKEN cDNA 1110003E01 gene","1110003E01Rik","5","68552","NM_133697","MGI:1915802","",""
"RIKEN cDNA 1110003O08 gene (non-RefSeq)","1110003O08Rik*","","0","1110003O08","","",""
"RIKEN cDNA 1110003O09 gene (non-RefSeq)","1110003O09Rik*","","0","1110003O09","","",""
"RIKEN cDNA 1110004B13 gene","1110004B13Rik","11","66910","NM_025838","MGI:1914160","","G03356"
"RIKEN cDNA 1110004E09 gene","1110004E09Rik","16","68001","NM_026502","MGI:1915251","",""
"RIKEN cDNA 1110004F10 gene","1110004F10Rik","7","56372","NM_019772","MGI:1929274","",""
"RIKEN cDNA 1110005A03 gene","1110005A03Rik","11","74319","NM_028865","MGI:1921569","",""
"RIKEN cDNA 1110005A23 gene","1110005A23Rik","10","66118","NM_025364","MGI:1913368","Q9D1J3",""
"RIKEN cDNA 1110006G06 gene","1110006G06Rik","7","73833","NM_028661","MGI:1921083","",""
"RIKEN cDNA 1110006G14 gene","1110006G14Rik","7","68469","XM_485989","MGI:1915719","",""
"RIKEN cDNA 1110006O17 gene","1110006O17Rik","18","68545","XM_358515","MGI:1915795","",""
"RIKEN cDNA 1110006O24 gene","1110006O24Rik","5","66123","NM_021417","MGI:1913373","",""
"RIKEN cDNA 1110007A13 gene","1110007A13Rik","7","210711","NM_145955","MGI:1920977","Q8R3C0",""
"RIKEN cDNA 1110007C02 gene","1110007C02Rik","13","71784","mCT115191.1","MGI:1919034","",""
"RIKEN cDNA 1110007C02 gene","1110007C02Rik","13","71784","NM_027923","MGI:1919034","",""
"RIKEN cDNA 1110007C09 gene","1110007C09Rik","13","68480","NM_026738","MGI:1915730","Q9D1I2",""
"RIKEN cDNA 1110007F12 gene","1110007F12Rik","6","68487","NM_197986","MGI:1915737","",""
"RIKEN cDNA 1110007L15 gene","1110007L15Rik","5","67604","NM_026269","MGI:1914854","Q9D1H7",""
"RIKEN cDNA 1110007M04 gene","1110007M04Rik","4","68493","NM_026742","MGI:1915743","Q9D1H6",""
"RIKEN cDNA 1110008B24 gene","1110008B24Rik","12","73736","NM_028632","MGI:1920986","Q9CTH6",""
"RIKEN cDNA 1110008E08 gene (non-RefSeq)","1110008E08Rik*","","0","1110008E08","","",""
"RIKEN cDNA 1110008F13 gene","1110008F13Rik","2","67388","NM_026124","MGI:1914638","Q9CQT9",""
"RIKEN cDNA 1110008I14 gene","1110008I14Rik","9","73732","XM_357986","MGI:1920982","",""
"RIKEN cDNA 1110008J03 gene","1110008J03Rik","5","100764","NM_029096","MGI:1922021","",""
"RIKEN cDNA 1110008L16 gene","1110008L16Rik","12","66132","XM_126928","MGI:1913382","","G03122"
"RIKEN cDNA 1110008P14 gene","1110008P14Rik","2","73737","NM_198001","MGI:1920987","P58686",""
"RIKEN cDNA 1110012D08 gene","1110012D08Rik","10","73827","NM_178066","MGI:1921077","",""
"RIKEN cDNA 1110012J17 gene","1110012J17Rik","17","68617","NM_172963","MGI:1915867","",""
"RIKEN cDNA 1110012L19 gene","1110012L19Rik","X","68618","NM_026787","MGI:1915868","Q9D1F3",""
"RIKEN cDNA 1110012M11 gene","1110012M11Rik","8","73711","NM_028617","MGI:1920961","",""
"RIKEN cDNA 1110012N22 gene","1110012N22Rik","11","68515","XM_126634","MGI:1915765","",""
"RIKEN cDNA 1110014J01 gene","1110014J01Rik","15","74778","NM_029101","MGI:1922028","Q9D1C9",""
"RIKEN cDNA 1110014K05 gene","1110014K05Rik","3","73719","NM_028622","MGI:1920969","",""
"RIKEN cDNA 1110014K08 gene","1110014K08Rik","11","319370","NM_176902","MGI:1914635","Q8BQH4",""
"RIKEN cDNA 1110014N23 gene","1110014N23Rik","19","68505","XM_283543","MGI:1915755","",""
"RIKEN cDNA 1110017D15 gene","1110017D15Rik","4","73721","XM_355478","MGI:1920971","",""
"RIKEN cDNA 1110017I16 gene","1110017I16Rik","2","68527","NM_026754","MGI:1915777","",""
"RIKEN cDNA 1110018G07 gene","1110018G07Rik","12","68497","NM_178065","MGI:1915747","Q8CHG5",""
"RIKEN cDNA 1110018H23 gene","1110018H23Rik","17","68509","XM_128459","MGI:1915759","",""
"RIKEN cDNA 1110018J12 gene","1110018J12Rik","17","73825","NM_028658","MGI:1921075","",""
"RIKEN cDNA 1110018J18 gene","1110018J18Rik","13","66129","NM_025370","MGI:1913379","Q9D1A0",""
"RIKEN cDNA 1110018J23 gene","1110018J23Rik","19","73713","XM_140742","MGI:1920963","",""
"RIKEN cDNA 1110018M03 gene","1110018M03Rik","2","67606","NM_026271","MGI:1914856","",""
"RIKEN cDNA 1110019J04 gene","1110019J04Rik","4","68512","XM_149430","MGI:1915762","",""
"RIKEN cDNA 1110019K23 gene","1110019K23Rik","5","68621","mCT179793.0","MGI:1915871","",""
"RIKEN cDNA 1110019N10 gene","1110019N10Rik","8","68523","NM_026753","MGI:1915773","Q9D187",""
"RIKEN cDNA 1110020A21 gene","1110020A21Rik","17","68531","XM_148821","MGI:1915781","",""
"RIKEN cDNA 1110020C03 gene","1110020C03Rik","4","68625","NM_026789","MGI:1915875","",""
"RIKEN cDNA 1110020C17 gene (non-RefSeq)","1110020C17Rik*","","0","1110020C17","","",""
"RIKEN cDNA 1110020G09 gene","1110020G09Rik","15","68646","XM_127934","MGI:1915896","",""
"RIKEN cDNA 1110020L19 gene","1110020L19Rik","X","73738","NM_028633","MGI:1920988","Q8BKT8",""
"RIKEN cDNA 1110020P15 gene","1110020P15Rik","11","66152","NM_197979","MGI:1913402","Q8R1I1",""
"RIKEN cDNA 1110028A07 gene","1110028A07Rik","14","68680","NM_026808","MGI:1915930","",""
"RIKEN cDNA 1110028C15 gene","1110028C15Rik","1","68691","NM_177645","MGI:1915941","",""
"RIKEN cDNA 1110029E03 gene","1110029E03Rik","4","242406","NM_172866","MGI:1915956","",""
"RIKEN cDNA 1110030O19 gene (non-RefSeq)","1110030O19Rik*","","0","1110030O19","","",""
"RIKEN cDNA 1110031B06 gene","1110031B06Rik","11","67826","NM_144521","MGI:1915076","",""
"RIKEN cDNA 1110031I02 gene","1110031I02Rik","11","66179","NM_025402","MGI:1913429","",""
"RIKEN cDNA 1110032A03 gene","1110032A03Rik","9","68721","NM_023483","MGI:1915971","Q9D131",""
"RIKEN cDNA 1110032A04 gene","1110032A04Rik","3","66183","NM_133675","MGI:1913433","Q925E8",""
"RIKEN cDNA 1110032A13 gene","1110032A13Rik","18","68731","NM_199197","MGI:1915981","Q6P3B9",""
"RIKEN cDNA 1110032E23 gene","1110032E23Rik","3","68659","NM_133187","MGI:1915909","",""
"RIKEN cDNA 1110032O16 gene","1110032O16Rik","7","68742","XM_133813","MGI:1915992","",""
"RIKEN cDNA 1110033J19 gene","1110033J19Rik","6","66184","NM_025405","MGI:1913434","","G03014"
"RIKEN cDNA 1110033M05 gene","1110033M05Rik","13","68675","XM_193728","MGI:1915925","",""
"RIKEN cDNA 1110034A24 gene","1110034A24Rik","12","109065","NM_027269","MGI:1923566","Q8BPI1",""
"RIKEN cDNA 1110034B05 gene","1110034B05Rik","1","68736","mCT172694.0","MGI:1915986","",""
"RIKEN cDNA 1110034B05 gene","1110034B05Rik","1","68736","XM_283610","MGI:1915986","",""
"RIKEN cDNA 1110034C04 gene","1110034C04Rik","12","68734","NM_211355","MGI:1915984","",""
"RIKEN cDNA 1110034G24 gene","1110034G24Rik","2","73747","XM_130388","MGI:1920997","",""
"RIKEN cDNA 1110036O03 gene","1110036O03Rik","11","66180","NM_176830","MGI:1913430","",""
"RIKEN cDNA 1110037F02 gene","1110037F02Rik","4","66185","XM_283937","MGI:1913435","",""
"RIKEN cDNA 1110037K09 gene (non-RefSeq)","1110037K09Rik*","","0","1110037K09","","",""
"RIKEN cDNA 1110038D17 gene","1110038D17Rik","10","68778","XM_483920","MGI:1916028","Q8BZI6",""
"RIKEN cDNA 1110038F14 gene","1110038F14Rik","15","117171","NM_054099","MGI:2152337","",""
"RIKEN cDNA 1110038O08 gene","1110038O08Rik","5","269642","NM_001001985","MGI:2447776","",""
"RIKEN cDNA 1110039B18 gene","1110039B18Rik","5","68796","NM_144525","MGI:1916046","",""
"RIKEN cDNA 1110049B09 gene","1110049B09Rik","12","68764","XM_126902","MGI:1916014","",""
"RIKEN cDNA 1110049F12 gene","1110049F12Rik","4","66193","NM_025411","MGI:1913443","",""
"RIKEN cDNA 1110051B16 gene","1110051B16Rik","14","278672","NM_183389","MGI:1916048","",""
"RIKEN cDNA 1110051M20 gene","1110051M20Rik","2","228356","NM_175123","MGI:1915079","",""
"RIKEN cDNA 1110054O05 gene","1110054O05Rik","4","66209","Mm.334999","MGI:1913459","",""
"RIKEN cDNA 1110054O05 gene","1110054O05Rik","4","66209","XM_485388","MGI:1913459","",""
"RIKEN cDNA 1110057K04 gene","1110057K04Rik","12","68832","NM_172401","MGI:1916082","",""
"RIKEN cDNA 1110058L19 gene","1110058L19Rik","1","68002","NM_026503","MGI:1915252","Q8BTE0",""
"RIKEN cDNA 1110059E24 gene","1110059E24Rik","19","66206","NM_025423","MGI:1913456","Q9CQ90",""
"RIKEN cDNA 1110059G10 gene","1110059G10Rik","9","66202","NM_025419","MGI:1913452","",""
"RIKEN cDNA 1110059H15 gene","1110059H15Rik","2","68795","XM_485005","MGI:1916045","","G03871"
"RIKEN cDNA 1110059M19 gene","1110059M19Rik","X","68800","XM_135842","MGI:1916050","",""
"RIKEN cDNA 1110059P08 gene","1110059P08Rik","10","66201","NM_025418","MGI:1913451","Q9CR26",""
"RIKEN cDNA 1110061N23 gene","1110061N23Rik","2","68846","NM_176834","MGI:1916096","",""
"RIKEN cDNA 1110061O04 gene","1110061O04Rik","6","97287","NM_026849","MGI:1916075","",""
"RIKEN cDNA 1110064P04 gene","1110064P04Rik","11","268390","NM_172391","MGI:1916133","",""
"RIKEN cDNA 1110065P20 gene","1110065P20Rik","4","68920","XM_149496","MGI:1916170","",""
"RIKEN cDNA 1110067D22 gene","1110067D22Rik","11","216551","NM_173752","MGI:1916114","",""
"RIKEN cDNA 1110067I12 gene","1110067I12Rik","19","68852","XM_484769","MGI:1916102","",""
"RIKEN cDNA 1110067L24 gene (non-RefSeq)","1110067L24Rik*","","0","1110067L24","","",""
"RIKEN cDNA 1110069I04 gene (non-RefSeq)","1110069I04Rik*","","0","1110069I04","","",""
"RIKEN cDNA 1190002A17 gene","1190002A17Rik","2","68870","XM_130050","MGI:1916120","",""
"RIKEN cDNA 1190002H23 gene","1190002H23Rik","14","66214","NM_025427","MGI:1913464","",""
"RIKEN cDNA 1190002J23 gene","1190002J23Rik","1","68874","XM_287054","MGI:1916124","",""
"RIKEN cDNA 1190002N15 gene","1190002N15Rik","9","68861","XM_147036","MGI:1916111","Q3USZ8",""
"RIKEN cDNA 1190003B21 gene (non-RefSeq)","1190003B21Rik*","","0","1190003B21","","",""
"RIKEN cDNA 1190003J15 gene","1190003J15Rik","7","76974","XM_133915","MGI:1916142","",""
"RIKEN cDNA 1190003M12 gene","1190003M12Rik","6","68888","XM_355795","MGI:1916138","",""
"RIKEN cDNA 1190005F20 gene","1190005F20Rik","1","98685","XM_355244","MGI:1916185","",""
"RIKEN cDNA 1190005I06 gene","1190005I06Rik","8","68918","NM_197988","MGI:1916168","",""
"RIKEN cDNA 1190005P17 gene","1190005P17Rik","10","66225","NM_025431","MGI:1913475","",""
"RIKEN cDNA 1190007F08 gene","1190007F08Rik","4","68859","XM_489067","MGI:1916109","",""
"RIKEN cDNA 1190017O12 gene","1190017O12Rik","16","68936","NM_138743","MGI:1916186","Q99J19",""
"RIKEN cDNA 1190020J12 gene","1190020J12Rik","7","233038","XM_133360","MGI:2685009","",""
"RIKEN cDNA 1190028D05 gene","1190028D05Rik","8","330767","XM_287801","MGI:3036227","",""
"RIKEN cDNA 1200002N14 gene","1200002N14Rik","10","71712","NM_027878","MGI:1918962","",""
"RIKEN cDNA 1200003C05 gene","1200003C05Rik","12","104771","NM_024205","MGI:1915057","Q8BI36",""
"RIKEN cDNA 1200003I07 gene","1200003I07Rik","8","66869","NM_181274","MGI:1914119","",""
"RIKEN cDNA 1200003M09 gene","1200003M09Rik","17","71718","NM_027880","MGI:1918968","",""
"RIKEN cDNA 1200004M23 gene","1200004M23Rik","19","67457","NM_026169","MGI:1914707","",""
"RIKEN cDNA 1200006F02 gene","1200006F02Rik","5","71706","NM_027872","MGI:1918956","",""
"RIKEN cDNA 1200007B05 gene","1200007B05Rik","18","67453","NM_026165","MGI:1914703","",""
"RIKEN cDNA 1200007C13 gene","1200007C13Rik","2","74119","XM_488968","MGI:1921369","",""
"RIKEN cDNA 1200007D18 gene","1200007D18Rik","17","67458","NM_026170","MGI:1914708","Q9DC16",""
"RIKEN cDNA 1200009F10 gene","1200009F10Rik","10","67454","NM_026166","MGI:1914704","",""
"RIKEN cDNA 1200009I06 gene","1200009I06Rik","12","74190","NM_028807","MGI:1921363","",""
"RIKEN cDNA 1200009O22 gene","1200009O22Rik","6","66873","NM_025817","MGI:1914123","",""
"RIKEN cDNA 1200011I18 gene","1200011I18Rik","14","67467","NM_026177","MGI:1914717","",""
"RIKEN cDNA 1200011I18 gene","1200011I18Rik","14","67467","TC1515359","MGI:1914717","",""
"RIKEN cDNA 1200011M11 gene","1200011M11Rik","11","74133","NM_024262","MGI:1921383","",""
"RIKEN cDNA 1200011O22 gene","1200011O22Rik","5","71735","NM_027891","MGI:1918985","",""
"RIKEN cDNA 1200013B08 gene","1200013B08Rik","X","74131","NM_028773","MGI:1921381","Q8K352",""
"RIKEN cDNA 1200013P24 gene","1200013P24Rik","16","74763","NM_029090","MGI:1922013","",""
"RIKEN cDNA 1200014J11 gene","1200014J11Rik","11","66874","NM_025818","MGI:1914124","",""
"RIKEN cDNA 1200014M14 gene","1200014M14Rik","13","67463","NM_026173","MGI:1914713","",""
"RIKEN cDNA 1200015A19 gene","1200015A19Rik","4","67808","NM_026388","MGI:1915058","",""
"RIKEN cDNA 1200015F23 gene","1200015F23Rik","2","67809","XM_203936","MGI:1915059","",""
"RIKEN cDNA 1200015N20 gene","1200015N20Rik","10","71721","NM_024244","MGI:1918971","Q9DBR2",""
"RIKEN cDNA 1200016B10 gene","1200016B10Rik","1","66875","NM_025819","MGI:1914125","",""
"RIKEN cDNA 1200016E24 gene","1200016E24Rik","Un","319202","XM_489305","MGI:2441660","",""
"RIKEN cDNA 1300001I01 gene","1300001I01Rik","11","74148","XM_181333","MGI:1921398","",""
"RIKEN cDNA 1300002A08 gene","1300002A08Rik","8","66887","NM_025827","MGI:1914137","",""
"RIKEN cDNA 1300002K09 gene","1300002K09Rik","4","74152","XM_283962","MGI:1921402","",""
"RIKEN cDNA 1300003B13 gene","1300003B13Rik","17","74149","NM_198003","MGI:1921399","",""
"RIKEN cDNA 1300007B12 gene","1300007B12Rik","1","57439","NM_020588","MGI:1914729","Q9JJB9",""
"RIKEN cDNA 1300007F04 gene","1300007F04Rik","11","67477","NM_026185","MGI:1914727","",""
"RIKEN cDNA 1300010F03 gene","1300010F03Rik","14","219189","XM_127737","MGI:1919008","",""
"RIKEN cDNA 1300010M03 gene","1300010M03Rik","11","67998","NM_026501","MGI:1915248","",""
"RIKEN cDNA 1300012G16 gene","1300012G16Rik","5","71772","NM_023625","MGI:1919022","",""
"RIKEN cDNA 1300013J15 gene","1300013J15Rik","11","67473","NM_026183","MGI:1914723","",""
"RIKEN cDNA 1300014I06 gene","1300014I06Rik","13","66895","NM_025831","MGI:1914145","",""
"RIKEN cDNA 1300015D01 gene","1300015D01Rik","2","74161","XM_488972","MGI:1921411","",""
"RIKEN cDNA 1300017J02 gene","1300017J02Rik","9","71775","NM_027918","MGI:1919025","",""
"RIKEN cDNA 1300018I05 gene","1300018I05Rik","17","74157","NM_028791","MGI:1921407","",""
"RIKEN cDNA 1300018I17 gene","1300018I17Rik","8","72325","XM_134461","MGI:1914143","Q8C190",""
"RIKEN cDNA 1300018J18 gene","1300018J18Rik","15","223776","NM_027905","MGI:1919007","Q9DBC0",""
"RIKEN cDNA 1500001A10 gene","1500001A10Rik","5","68955","NM_026886","MGI:1916205","",""
"RIKEN cDNA 1500001M20 gene","1500001M20Rik","6","68971","XM_132806","MGI:1916221","",""
"RIKEN cDNA 1500002O20 gene","1500002O20Rik","7","71997","NM_028047","MGI:1919247","",""
"RIKEN cDNA 1500003O03 gene","1500003O03Rik","2","56398","NM_019769","MGI:1927185","P61022",""
"RIKEN cDNA 1500003O22 gene","1500003O22Rik","7","101867","NM_025897","MGI:1914251","Q9DB85","G00681"
"RIKEN cDNA 1500004A08 gene","1500004A08Rik","11","216505","NM_178149","MGI:1917016","",""
"RIKEN cDNA 1500004I01 gene (non-RefSeq)","1500004I01Rik*","","0","1500004I01","","",""
"RIKEN cDNA 1500005A01 gene","1500005A01Rik","14","85308","NM_033146","MGI:1934682","Q9DB76",""
"RIKEN cDNA 1500005K14 gene","1500005K14Rik","11","76566","XM_203453","MGI:1923816","",""
"RIKEN cDNA 1500005P14 gene","1500005P14Rik","7","76686","XM_133283","MGI:1923936","",""
"RIKEN cDNA 1500009M05 gene","1500009M05Rik","3","67006","NM_025902","MGI:1914256","","G00499"
"RIKEN cDNA 1500010G04 gene","1500010G04Rik","6","68965","NM_173366","MGI:1916215","",""
"RIKEN cDNA 1500010J02 gene","1500010J02Rik","11","68964","TC1518375","MGI:1916214","",""
"RIKEN cDNA 1500010J02 gene","1500010J02Rik","11","68964","XM_488515","MGI:1916214","",""
"RIKEN cDNA 1500011H22 gene","1500011H22Rik","5","68948","NM_026883","MGI:1916198","",""
"RIKEN cDNA 1500011J06 gene","1500011J06Rik","5","208606","NM_001005523","MGI:1913489","",""
"RIKEN cDNA 1500011K16 gene","1500011K16Rik","2","67885","NM_175125","MGI:1915135","",""
"RIKEN cDNA 1500012K07 gene","1500012K07Rik","7","68954","XM_485949","MGI:1916204","",""
"RIKEN cDNA 1500015L24 gene","1500015L24Rik","19","68994","NM_183277","MGI:1916244","",""
"RIKEN cDNA 1500015O10 gene","1500015O10Rik","1","78896","NM_024283","MGI:1926146","",""
"RIKEN cDNA 1500016O10 gene","1500016O10Rik","7","68952","XM_133706","MGI:1916202","Q7TNV1",""
"RIKEN cDNA 1500019G21 gene","1500019G21Rik","7","66245","NM_024172","MGI:1913495","Q99P31",""
"RIKEN cDNA 1500026H17 gene","1500026H17Rik","10","69002","XM_483938","MGI:1916252","",""
"RIKEN cDNA 1500031H01 gene","1500031H01Rik","16","207740","mCT189039.0","MGI:1916255","Q6P3B2",""
"RIKEN cDNA 1500031H01 gene","1500031H01Rik","16","207740","XM_358753","MGI:1916255","Q6P3B2",""
"RIKEN cDNA 1500031L02 gene","1500031L02Rik","16","66994","NM_025892","MGI:1914244","",""
"RIKEN cDNA 1500032D16 gene","1500032D16Rik","17","78330","NM_030087","MGI:1925580","",""
"RIKEN cDNA 1500032L24 gene","1500032L24Rik","15","69029","XM_193800","MGI:1916279","",""
"RIKEN cDNA 1500034J01 gene","1500034J01Rik","8","66498","XM_356085","MGI:1913748","",""
"RIKEN cDNA 1500035H01 gene","1500035H01Rik","9","76568","NM_023831","MGI:1923818","Q9DB07",""
"RIKEN cDNA 1500035N22 gene (non-RefSeq)","1500035N22Rik*","","0","1500035N22","","",""
"RIKEN cDNA 1500041B16 gene","1500041B16Rik","11","380686","mCT169915.0","MGI:1917505","Q5M8N0",""
"RIKEN cDNA 1500041N16 gene","1500041N16Rik","8","67836","NM_026399","MGI:1915086","Q9DAJ4",""
"RIKEN cDNA 1520401A03 gene","1520401A03Rik","17","320309","NM_177132","MGI:2443785","",""
